"title","price","rating","amenities","numero_registro","reviews","Dormitorio 1","Dormitorio 2"
"Hola Hostal Collblanc. Cama en dormitorio 18 pax","35 €","4,41 (1124)","['Secador de pelo', 'Lavadora', 'Secadora', 'Servicios básicos', 'Perchas', 'Plancha', 'TV', 'Aire acondicionado', 'Calefacción', 'Cámaras de seguridad en los exteriores de la propiedad', 'Detector de humo', 'Extintor de incendios', 'Wifi', 'Cocina', 'Llegada autónoma', 'Personal en el edificio', 'No disponible: Detector de monóxido de carbono', 'No disponible: Champú']","['Anfitrión profesional', 'Número de registro: AJ000687']","[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2\xa0días', 'review': 'Gracias.'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · Hace 2\xa0días', 'review': 'Estuvo muy bien para el precio que se paga.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2\xa0días', 'review': 'Un establecimiento bastante bueno con buena atención al huésped'}, {'rating': 'Valoración: 3\xa0estrellas', 'date': 'Valoración: 3\xa0estrellas,  · Hace 3\xa0días', 'review': 'El colchón estaba súper mal. Eso combinado con que perdiera los tapones para los oídos y que no vendieran nada significaba que no podía dormir. Esto se vio agravado por puertas muy ruidosas justo al lado de mi cama.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 3\xa0días', 'review': 'Todo bien. Buena dirección'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 4\xa0días', 'review': 'muy lindo muy bueno'}]",NA,NA
"Armonía, Pineda de Mar.","57 €","4,96 (147)","['Secador de pelo', 'Productos de limpieza', 'Champú', 'Acondicionador', 'Gel de ducha', 'Agua caliente', 'Gel de ducha', 'Lavadora', 'Servicios básicos', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Espacio para guardar la ropa: cómoda', 'Televisión de alta definición de 32 pulgadas con Amazon Prime Video, Disney+, Netflix', 'Cuna: disponible previa solicitud', 'Parque/cunas de viaje: disponible previa solicitud', 'Bañera para bebés', 'Aire acondicionado', 'Ventiladores portátiles', 'Calefacción central', 'Extintor de incendios', 'Botiquín', 'Wifi rápido (471 Mbps)', 'Cocina', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocina', 'Platos y cubiertos', 'Congelador', 'Cocina eléctrica', 'Horno', 'Hervidor de agua', 'Cafetera', 'Copas de vino', 'Tostadora', 'Batidora', 'Mesa de comedor', 'Café', 'Costa', 'Acceso a la playa, primera línea', 'Entrada independiente', 'Patio privado o balcón', 'Mobiliario exterior', 'Elementos básicos para la playa', 'Aparcamiento gratuito en la calle', 'Ascensor', 'Aparcamiento de pago en la calle fuera de la propiedad', 'Disponible para estancias largas', 'Recepción por parte del anfitrión', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: Secadora', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono']","['Anfitrión particular', 'Número de registro: HUTB-033567']","[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 6\xa0días', 'review': 'El apartamento de Laura era precioso, muy muy  limpio si estuviera de paso por la zona seguro que lo volvería a reservar. Laura es una persona genial que es muy amable con un montón de pequeños detalles... si pudiera darle más de 5 estrellas lo haría sin ningún problema. para recomendar'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 1 semana', 'review': 'Laura es una persona con muy buena energía y super atenta, todo super bien explicado, recomendaciones y de mas.El apartamento es incluso mejor que en las fotos, muy limpio, con muy buen olor, ordenado y todo funciona correctamente.Recomendado al 1000%'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': '¡Gracias, fue encantador y maravillosamente limpio!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': '¡Guau! ¡Ha sido, con mucho, la mejor experiencia desde que hemos estado con Airbnb y todo gracias a Laura! Si estás leyendo esta evaluación, confía en mí, no busques más, esta hermosa alma Laura te cuidará bien. Su Airbnb estaba impecable, cómodo, tranquilo, con mucha energía (obviamente debido al anfitrión) y cerca de todos los servicios y del hermoso océano. ¡Laura fue increíble al tratar con una A++ + + Super Super Superanfitriona! No puedo agradecerle lo suficiente la hospitalidad, la amabilidad, la generosidad y su auténtico yo. Siempre haciendo todo lo posible y haciendo todo lo posible. Recomiendo a Laura al 200% a cualquier persona que busque alojamiento dentro de esta ubicación o incluso mejor lejos de la concurrida Barcelona para retirarse para un poco de paz y tranquilidad. Gracias de nuevo, gracias Laura, mi primo está deseando volver a visitar tu hermosa ciudad. <U+2764><U+FE0F>'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'Laura es una anfitriona muy hospitalaria, amable y receptiva. El apartamento corresponde totalmente a la descripción. Las ventanas del apartamento protegen completamente de cualquier ruido de la calle. El aire acondicionado es silencioso y eficiente. Hay varios buenos supermercados y restaurantes a poca distancia a pie. La playa está a 5 minutos a pie, también hay una larga zona para caminar con palmeras, pinos y hermosas vistas al mar. Recomendamos sinceramente los apartamentos de Pineda de Mar y Laura para unas vacaciones. Ludmilla y Sergey.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'Anfitriona muy agradable, nos ayudó en todo lo que pudo con una sonrisa en su cara. El lugar estaba impecable y fiel a las imágenes y la descripción.'}]",NA,NA
"Sencillo, moderno y cerca de la playa","75 €","4,77 (1241)","['Secador de pelo', 'Servicios básicos', 'Perchas', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Caja fuerte', 'TV', 'Trona', 'Aire acondicionado', 'Calefacción', 'Cámaras de seguridad en los exteriores de la propiedad', 'Detector de humo', 'Detector de monóxido de carbono', 'Extintor de incendios', 'Botiquín', 'Wifi', 'Zona para trabajar', 'Cocina', 'Frigorífico', 'Microondas', 'Platos y cubiertos', 'Hervidor de agua', 'Cafetera', 'Copas de vino', 'Tostadora', 'Mesa de comedor', 'Piscina descubierta compartida', 'Ascensor', 'Aparcamiento de pago en garaje en la propiedad: 8 plazas', 'Llegada autónoma', 'Personal en el edificio', 'No disponible: Lavadora', 'No disponible: Champú', 'No disponible: Entrada independiente']","['Anfitrión profesional', 'Número de registro: ATB-002816']","[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': 'Todo como debe ser. ¡Encantado de volver!'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · Hace 2 semanas', 'review': 'Grata estadía, acogedor piso y excelente ubicación, solo alguna dificultad para entrar en la llegada ( locked)'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': 'Muy bueno todo. Recomendable para los que necesitan estar por la zona.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': 'Bonito apartamento tranquilo cerca de la playa y de muchos restaurantes excelentes. El autobús a Barcelona circula regularmente desde aproximadamente un minuto por la carretera y te deja justo fuera de los apartamentos. La única desventaja es que es una misión conseguir comestibles, pero teníamos la Ananda Beach House cerca para disfrutar de excelentes desayunos y tapas asequibles. Definitivamente consideraré reservar de nuevo.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': '¡Genial!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': 'El lugar perfecto para relajarse,  cerca de la playa, transporte público a pocos pasos del hotel, apartamento muy bien equipado, recomiendo este lugar.'}]",NA,NA
"Habitación Individual","47 €","4,94 (16)","['Secador de pelo', 'Champú', 'Acondicionador', 'Gel de ducha', 'Bidé', 'Agua caliente', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Espacio para guardar la ropa', 'Wifi', 'Cocina', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocina', 'Platos y cubiertos', 'Fogón', 'Horno', 'Copas de vino', 'Bandeja de repostería', 'Batidora', 'Arrocera', 'Aparcamiento gratuito en las instalaciones', 'Aparcamiento de pago en las instalaciones', 'Recepción por parte del anfitrión', 'No disponible: Cerradura en la puerta del dormitorio', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: TV', 'No disponible: Lavadora', 'No disponible: Secadora', 'No disponible: Aire acondicionado', 'No disponible: Servicios básicos', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono', 'No disponible: Calefacción']","['Anfitrión particular', 'Número de registro: Exempt']","[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 1\xa0día', 'review': '¡Tuve una estancia de una noche entre vuelos en Barcelona y esto fue perfecto! ¡Gia envió fotos/vídeos ayudando a localizar el apartamento y la habitación, lo que hace que la llegada sea muy sencilla! ¡Muchas gracias!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 6\xa0días', 'review': 'Excelente ubicación y apartamento limpio. Si viajas solo, esta es una buena opción. ¡Gracias!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 1 semana', 'review': 'La estancia estuvo perfecta, lamentablemente no me quedé más que una noche, pero fue cómodo y pude descansar. Y Gianestuvo siempre intenta, por msj ya que no la cruce.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 1 semana', 'review': 'La noche es tranquila, la estancia en casa de Gia es muy linda, el baño, la cocina todo limpio, la habitación es sencilla y cómoda, y Gia también muy amable y amable, querrás quedarte aquí de nuevo cuando vuelvas a Barcelona!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': 'El apartamento estaba impecable y cerca de la estación de metro. Gia y Scott fueron muy amables y atentos.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 3 semanas', 'review': '¡Tuve una estancia encantadora en casa de Gia! Excelente ubicación, es muy fácil caminar/andar en bicicleta o coger el transporte público por toda la ciudad. ¡Hay mucha comida deliciosa cerca! El lugar estaba impecablemente limpio. Las instrucciones de entrada hicieron que fuera muy fácil de encontrar'}]",NA,NA
"Bonito y tranquilo mini apartamento (sin cocina) en LA zona de PLAYA","65 €","4,64 (141)","['Secador de pelo', 'Champú', 'Agua caliente', 'Servicios básicos', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Wifi', 'Costa', 'Aparcamiento gratuito en la calle', 'Ascensor', 'Aparcamiento de pago en garaje fuera de la propiedad', 'Aparcamiento de pago en garaje en la propiedad: 1 plaza', 'Recepción por parte del anfitrión', 'No disponible: Cocina', 'No disponible: TV', 'No disponible: Lavadora', 'No disponible: Secadora', 'No disponible: Aire acondicionado', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono', 'No disponible: Calefacción']","['Anfitrión particular', 'Número de registro: HUTB-002747']","[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · noviembre de 2023', 'review': 'Tuve una excelente estadía! Le agradezco mucho a Vanessa por su hospitalidad. La ubicación es excelente, muy tranquila, cerca de la playa y de todas las atracciones de la ciudad con estación de metro cercana. Excelente relación precio-calidad.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · octubre de 2023', 'review': 'El lugar estaba muy limpio y cómodo, Vanessa fue muy servicial y flexible con la hora de llegada y nos dejó algunos consejos y trucos para la ciudad.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · octubre de 2023', 'review': 'Muy agradable.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2023', 'review': 'Zona muy agradable y un pequeño alojamiento perfecto para un par de noches. Lo único que habría sido bueno en el apartamento era un ventilador ya que era muy, muy caluroso durante la noche cuando nos quedamos. Definitivamente me quedaría de nuevo.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · agosto de 2023', 'review': 'Todo encajaba muy bien para el poco tiempo.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · julio de 2023', 'review': 'Excelente ubicación. Anfitrión realmente encantador. Definitivamente recomiendo este alojamiento'}]",NA,NA
"Precioso apartamento con buena ubicación.","38 €","4,96 (71)","['Lavadora', 'TV', 'Wifi', 'Zona para trabajar', 'Cocina', 'No disponible: Cerradura en la puerta del dormitorio', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: Secadora', 'No disponible: Aire acondicionado', 'No disponible: Servicios básicos', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono', 'No disponible: Calefacción', 'No disponible: Agua caliente']","['Anfitrión particular', 'Número de registro: Exempt']","[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': '¡Disfruté de la estancia en este lugar! Ubicación perfecta con una estación de metro y autobús a la vuelta de la esquina, y muchas panaderías y tiendas de comestibles agradables. Sigue siendo muy relajado y no es una zona concurrida.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · octubre de 2024', 'review': 'El alojamiento es cómodo y muy bien decorado. Su ubicación es perfecta tanto para disfrutar de las playas como de las atracciones culturales. Alejandra es encantadora y su compañera de piso amable e interesante. ¡Lo recomiendo y volveré siempre que la habitación esté disponible dada la relación calidad-precio! ¡Muchas gracias Alejandra por tu recepción!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': '¡Excelente ubicación y apartamento!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · junio de 2024', 'review': 'Una habitación muy confortable. La casa muy limpia.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · mayo de 2024', 'review': 'El apartamento está bien comunicado con el transporte público, con el que se puede llegar rápidamente a diversos atractivos. El apartamento estaba muy limpio. Alejandra es una anfitriona encantadora.La llegada ha ido bien En varias, una gran experiencia.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · mayo de 2024', 'review': 'la ubicación es excelente, es muy fácil para pedir indicaciones. todo el mundo sabe dónde queda esa avenida'}]",NA,NA
"Mediterráneo, Pineda de mar.","57 €","4,91 (47)","['Secador de pelo', 'Productos de limpieza', 'Champú', 'Acondicionador', 'Gel de ducha', 'Agua caliente', 'Gel de ducha', 'Lavadora', 'Servicios básicos', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Espacio para guardar la ropa', 'TV', 'Cuna', 'Parque/cunas de viaje', 'Bañera para bebés', 'Aire acondicionado', 'Ventiladores portátiles', 'Calefacción', 'Wifi', 'Cocina', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocina', 'Platos y cubiertos', 'Congelador', 'Fogón', 'Horno', 'Hervidor de agua', 'Cafetera', 'Copas de vino', 'Tostadora', 'Batidora', 'Mesa de comedor', 'Café', 'Costa', 'Acceso a la playa, primera línea', 'Entrada independiente', 'Patio o balcón', 'Mobiliario exterior', 'Elementos básicos para la playa', 'Aparcamiento gratuito en la calle', 'Ascensor', 'Aparcamiento de pago fuera de las instalaciones', 'Disponible para estancias largas', 'Recepción por parte del anfitrión', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: Secadora', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono']","['Anfitrión particular', 'Número de registro: HUTB-033567']","[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2\xa0días', 'review': 'Laura es la anfitriona más amable. Nos recibió en la estación de tren, ya que nuestro tren tuvo un retraso y llegamos tarde por la noche. La unidad es super . Muy cómoda, hay otra habitación ""infantil"". Volveremos. Exclusivamente limpio. ¡Gracias Laura!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 1 semana', 'review': 'me encantó el apartamento, volveré seguro, 100 % recomendado.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 1 semana', 'review': '¡Tuvimos una estancia increíble en casa de Laura! El alojamiento estaba limpio, era acogedor y tenía todo lo que necesitábamos para una estancia cómoda. La ubicación era perfecta y el barrio era tranquilo. Laura fue muy receptiva y se aseguró de que todo saliera bien durante nuestra estancia. Recomiendo encarecidamente este alojamiento a cualquiera que esté buscando una gran experiencia en Airbnb.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 1 semana', 'review': 'Nos encantó nuestra estancia. Laura super amable y con ganas de dar recomendaciones. ¡Llegamos muy tarde después de las 12:00 p. m. y ella fue flexible al darnos la bienvenida tan tarde!El apartamento es bonito y acogedor, perfecto para que dos personas se queden. Con todos los servicios enumerados y muy seguro en un edificio lindo.Pineda en sí no está muy lejos de Barcelona y es un lugar que vale la pena visitar en sí mismo. La playa está muy cerca y es accesible, así como una tienda Aldi asequible a 10 metros a pie.Sin duda recomendable'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · Hace 2 semanas', 'review': 'Piso bonito y cómodo. Como sugerencia añadiría dejar gel para los huésped.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': 'laura es muy amable y el apartamento y bien equipado lo recomiendo.'}]",NA,NA
"Habitación privada muy pequeña.","31 €","5,0 (7)","['Productos de limpieza', 'Champú de Pantene', 'Gel de ducha de Diferente los compro por olores', 'Agua caliente', 'Gel de ducha', 'Lavadora en el alojamiento (De pago)', 'Perchas', 'Ropa de cama', 'Espacio para guardar la ropa: armario', 'Calefactor portátil', 'Wifi', 'Cocina', 'Horno', 'No disponible: Cerradura en la puerta del dormitorio', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: TV', 'No disponible: Secadora', 'No disponible: Aire acondicionado', 'No disponible: Servicios básicos', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono']","['Anfitrión particular', 'Número de registro: Hutb-252742']","[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': 'excelente ubicación en la ciudad estaba muy satisfecho.Mariana fue agradable.sin duda valió la pena el dinero'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': 'El espacio es pequeño, como se indica en la descripción, pero la cama es muy cómoda y Marina es muy amable.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 2 semanas', 'review': 'Todo perfecto'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 3 semanas', 'review': 'Persona tranquila. Todo estaba bien para mí.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'Un lugar y una persona muy amables. En los lugares redondeados muy bonitos. Recomendable.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · agosto de 2024', 'review': '¡Marina es una anfitriona maravillosa! Mi vuelo se retrasó y tuvo la amabilidad de esperar a que llegara. Estoy muy agradecida de haberme alojado con ella y su encantadora gatita :)Perfecta para viajar solo! Si quieres una sensación real de vivir en Barcelona, ¡esto lo es todo!Gracias <U+2764><U+FE0F>'}]",NA,NA
"Habitación amarilla de Besos","44 €","4,75 (60)","['Secador de pelo', 'Agua caliente', 'Servicios básicos', 'Plancha', 'Aire acondicionado centralizado', 'Sistema de aire acondicionado sin conductos tipo split', 'Calefacción', 'Cerradura en la puerta del dormitorio', 'Wifi rápido (465 Mbps)', 'Zona para trabajar', 'Cocina', 'Platos y cubiertos', 'Hervidor de agua', 'Aparcamiento gratuito en las instalaciones', 'Apto para fumadores', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: TV', 'No disponible: Lavadora', 'No disponible: Secadora', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono']","['Anfitrión particular', 'Número de registro: Exempt']","[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 3 semanas', 'review': 'Apartamento limpio, impecable y organizado. Muy cerca de la estación de tren.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'Tuve una estancia estupenda aquí. Estaba muy limpio, complaciente y bien conectado. El apartamento es exactamente como en las fotos y una buena relación calidad-precio.'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · septiembre de 2024', 'review': 'Lugar muy tranquilo si buscas Kutch totalmente equipado y estancias más largas, ya que el lugar es perfecto para dos personas, ya que fundé un poco aislado. De otro modo, estaba limpio y perfecto con todas las instalaciones en su lugar. En general le daría cuatro estrellas'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'increíble lugar lo disfruté'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'Un saludo, gracias.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'Zona residencial tranquila,  tiene cerca estación de Metro L4.'}]",NA,NA
"hermoso piso con un ambiente simpático y simpático","32 €","4,66 (118)","['Bañera', 'Secador de pelo', 'Champú', 'Bidé', 'Agua caliente', 'Lavadora', 'Servicios básicos', 'Perchas', 'Persianas o cortinas opacas', 'Plancha', 'Ventiladores portátiles', 'Calefacción', 'Wifi rápido (286 Mbps)', 'Cocina', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocina', 'Horno', 'Cafetera: máquina de café expreso', 'Copas de vino', 'Mesa de comedor', 'Acceso a la playa, primera línea', 'Ascensor', 'Apto para fumadores', 'Llegada autónoma', 'Caja de seguridad para llaves', 'No disponible: Cerradura en la puerta del dormitorio', 'No disponible: Cámaras de seguridad en los exteriores de la propiedad', 'No disponible: TV', 'No disponible: Secadora', 'No disponible: Aire acondicionado', 'No disponible: Detector de humo', 'No disponible: Detector de monóxido de carbono']","['Anfitrión particular', 'Número de registro: Exempt']","[{'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 6\xa0días', 'review': 'Gran habitación para unos días en Barcelona, bien comunicada, la habitación está limpia con mucha luz, y para los precios actuales de Barcelona esto es inmejorable'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 1 semana', 'review': 'bueno'}, {'rating': 'Valoración: 4\xa0estrellas', 'date': 'Valoración: 4\xa0estrellas,  · Hace 3 semanas', 'review': 'todo como se describe! Fácil acceso a metros (solo 2 min a pie). ¡El anfitrión fue muy amable y acogedor incluso cuando llegó después de la hora establecida!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · Hace 3 semanas', 'review': '¡Excelente anfitrión y un gran lugar para quedarse por el presupuesto!'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': 'Ali es un anfitrión amable y simpático. La ubicación del apartamento es agradable.'}, {'rating': 'Valoración: 5\xa0estrellas', 'date': 'Valoración: 5\xa0estrellas,  · septiembre de 2024', 'review': ""Ali's es un buen anfitrión. El lugar está bien situado desde el aeropuerto. Tiene mucho transporte público cerca (metro y autobuses justo afuera). También hay muchos restaurantes y supermercados cerca. Te recomiendo este alojamiento si estás buscando alojamiento económico en Barcelona.""}]",NA,NA
